timestamp,model,context_total,context_used,context_used_pct,context_remaining,quota_5h_used_pct,quota_5h_reset_at_ms,quota_day_used_pct,quota_day_reset_at_ms
2026-02-19T18:30:43.348073-05:00,gpt-5.3-codex,400000,32160,8,367840,3,1771558214000,23,1772054527000
2026-02-19T19:00:06.978960-05:00,gpt-5.3-codex,400000,40376,10,359624,4,1771558214000,23,1772054527000
2026-02-19T19:30:05.397241-05:00,gpt-5.3-codex,400000,46070,12,353930,9,1771558214000,25,1772054527000
2026-02-19T20:00:05.798633-05:00,gpt-5.3-codex,400000,40384,10,359616,13,1771558214000,26,1772054527000
2026-02-19T20:30:06.478184-05:00,gpt-5.3-codex,400000,41867,10,358133,17,1771558214000,27,1772054527000
2026-02-19T21:00:06.669897-05:00,gpt-5.3-codex,400000,45243,11,354757,19,1771558214000,28,1772054527000
2026-02-19T21:30:06.175222-05:00,gpt-5.3-codex,400000,43556,11,356444,24,1771558214000,29,1772054527000
2026-02-19T22:00:05.574692-05:00,gpt-5.3-codex,400000,50351,13,349649,28,1771558214000,31,1772054527000
2026-02-19T22:30:06.076008-05:00,gpt-5.3-codex,400000,42180,11,357820,33,1771558214000,32,1772054527000
